date,open,high,low,close,volume,average,barCount
2022-12-30 13:01:05-05:00,121.49,121.5,121.48,121.5,3660.0,121.488,9
2022-12-30 13:01:06-05:00,121.5,121.5,121.47,121.47,2400.0,121.486,7
2022-12-30 13:01:07-05:00,121.47,121.49,121.43,121.45,5996.0,121.47,29
2022-12-30 13:01:08-05:00,121.46,121.46,121.41,121.41,4263.0,121.429,13
2022-12-30 13:01:09-05:00,121.41,121.41,121.38,121.4,7656.0,121.395,25
2022-12-30 13:01:10-05:00,121.38,121.4,121.37,121.38,4311.0,121.384,14
2022-12-30 13:01:11-05:00,121.37,121.38,121.36,121.37,7123.0,121.367,23
2022-12-30 13:01:12-05:00,121.36,121.39,121.36,121.39,1400.0,121.376,8
2022-12-30 13:01:13-05:00,121.38,121.39,121.37,121.39,800.0,121.383,7
2022-12-30 13:01:14-05:00,121.4,121.4,121.38,121.38,300.0,121.387,3
2022-12-30 13:01:15-05:00,121.38,121.43,121.37,121.43,6196.0,121.391,21
2022-12-30 13:01:16-05:00,121.41,121.41,121.39,121.4,2700.0,121.402,12
2022-12-30 13:01:17-05:00,121.37,121.37,121.36,121.37,800.0,121.369,5
2022-12-30 13:01:18-05:00,121.36,121.39,121.35,121.39,1400.0,121.37,9
2022-12-30 13:01:19-05:00,121.37,121.37,121.34,121.36,9886.0,121.358,22
2022-12-30 13:01:20-05:00,121.37,121.38,121.36,121.38,2073.0,121.368,4
2022-12-30 13:01:21-05:00,121.36,121.37,121.34,121.34,3420.0,121.349,7
2022-12-30 13:01:22-05:00,121.34,121.34,121.32,121.32,1931.0,121.332,16
